,epoch,fitness_estimate,crossover_used,pop_gen_used,im_size
0,0,67.9510512086,crossover_1,random_image_array_1,"(305,264)"
1,100,37.914422953,crossover_1,random_image_array_1,"(305,264)"
2,200,34.7215841861,crossover_1,random_image_array_1,"(305,264)"
3,300,30.9905817573,crossover_1,random_image_array_1,"(305,264)"
4,400,29.5072636374,crossover_1,random_image_array_1,"(305,264)"
5,500,28.6298484743,crossover_1,random_image_array_1,"(305,264)"
6,600,27.8504991861,crossover_1,random_image_array_1,"(305,264)"
7,700,26.740626824,crossover_1,random_image_array_1,"(305,264)"
8,800,25.9407322389,crossover_1,random_image_array_1,"(305,264)"
9,900,25.3476806083,crossover_1,random_image_array_1,"(305,264)"
10,1000,24.9840877681,crossover_1,random_image_array_1,"(305,264)"
11,1100,24.8292048054,crossover_1,random_image_array_1,"(305,264)"
12,1200,24.4135817307,crossover_1,random_image_array_1,"(305,264)"
13,1300,24.370528243,crossover_1,random_image_array_1,"(305,264)"
14,1400,24.2519352101,crossover_1,random_image_array_1,"(305,264)"
15,1500,24.0959636216,crossover_1,random_image_array_1,"(305,264)"
16,1600,23.677151649,crossover_1,random_image_array_1,"(305,264)"
17,1700,23.3485300378,crossover_1,random_image_array_1,"(305,264)"
18,1800,23.0107860622,crossover_1,random_image_array_1,"(305,264)"
19,1900,22.9444557285,crossover_1,random_image_array_1,"(305,264)"
20,2000,22.5455344954,crossover_1,random_image_array_1,"(305,264)"
21,2100,22.1269968315,crossover_1,random_image_array_1,"(305,264)"
22,2200,22.0836885345,crossover_1,random_image_array_1,"(305,264)"
23,2300,21.9049993265,crossover_1,random_image_array_1,"(305,264)"
24,2400,21.8422122541,crossover_1,random_image_array_1,"(305,264)"
25,2500,21.7493246774,crossover_1,random_image_array_1,"(305,264)"
26,2600,21.6467456471,crossover_1,random_image_array_1,"(305,264)"
27,2700,21.6151088825,crossover_1,random_image_array_1,"(305,264)"
28,2800,21.5994817014,crossover_1,random_image_array_1,"(305,264)"
29,2900,21.5971083091,crossover_1,random_image_array_1,"(305,264)"
30,3000,21.596739689,crossover_1,random_image_array_1,"(305,264)"
31,3100,21.5724594458,crossover_1,random_image_array_1,"(305,264)"
32,3200,21.4455742769,crossover_1,random_image_array_1,"(305,264)"
33,3300,21.380079201,crossover_1,random_image_array_1,"(305,264)"
34,3400,21.3425521015,crossover_1,random_image_array_1,"(305,264)"
35,3500,21.2465329514,crossover_1,random_image_array_1,"(305,264)"
36,3600,21.1977029494,crossover_1,random_image_array_1,"(305,264)"
37,3700,21.0322254956,crossover_1,random_image_array_1,"(305,264)"
38,3800,20.9581325996,crossover_1,random_image_array_1,"(305,264)"
39,3900,20.7683756442,crossover_1,random_image_array_1,"(305,264)"
40,4000,20.5199060189,crossover_1,random_image_array_1,"(305,264)"
41,4100,20.4486703489,crossover_1,random_image_array_1,"(305,264)"
42,4200,20.2820253977,crossover_1,random_image_array_1,"(305,264)"
43,4300,20.1839152537,crossover_1,random_image_array_1,"(305,264)"
44,4400,20.0567538682,crossover_1,random_image_array_1,"(305,264)"
45,4500,19.8081010611,crossover_1,random_image_array_1,"(305,264)"
46,4600,19.617136286,crossover_1,random_image_array_1,"(305,264)"
47,4700,19.5810716776,crossover_1,random_image_array_1,"(305,264)"
48,4800,19.5506216854,crossover_1,random_image_array_1,"(305,264)"
49,4900,19.490751117,crossover_1,random_image_array_1,"(305,264)"
50,5000,19.4794742606,crossover_1,random_image_array_1,"(305,264)"
51,5100,19.4471558926,crossover_1,random_image_array_1,"(305,264)"
52,5200,19.3539074606,crossover_1,random_image_array_1,"(305,264)"
53,5300,19.3359393056,crossover_1,random_image_array_1,"(305,264)"
54,5400,19.2503882346,crossover_1,random_image_array_1,"(305,264)"
55,5500,19.0693065686,crossover_1,random_image_array_1,"(305,264)"
56,5600,19.0542609164,crossover_1,random_image_array_1,"(305,264)"
57,5700,18.9871734906,crossover_1,random_image_array_1,"(305,264)"
58,5800,18.9684674302,crossover_1,random_image_array_1,"(305,264)"
59,5900,18.9038574428,crossover_1,random_image_array_1,"(305,264)"
60,6000,18.8190757496,crossover_1,random_image_array_1,"(305,264)"
61,6100,18.803890673,crossover_1,random_image_array_1,"(305,264)"
62,6200,18.7438786758,crossover_1,random_image_array_1,"(305,264)"
63,6300,18.7438786758,crossover_1,random_image_array_1,"(305,264)"
64,6400,18.7427416882,crossover_1,random_image_array_1,"(305,264)"
65,6500,18.582167798,crossover_1,random_image_array_1,"(305,264)"
66,6600,18.5577163243,crossover_1,random_image_array_1,"(305,264)"
67,6700,18.5275716772,crossover_1,random_image_array_1,"(305,264)"
68,6800,18.4566827296,crossover_1,random_image_array_1,"(305,264)"
69,6900,18.3358454517,crossover_1,random_image_array_1,"(305,264)"
70,7000,18.31940153,crossover_1,random_image_array_1,"(305,264)"
71,7100,18.3164754461,crossover_1,random_image_array_1,"(305,264)"
72,7200,18.3137040559,crossover_1,random_image_array_1,"(305,264)"
73,7300,18.2792978819,crossover_1,random_image_array_1,"(305,264)"
74,7400,18.270865367,crossover_1,random_image_array_1,"(305,264)"
75,7500,18.2381868436,crossover_1,random_image_array_1,"(305,264)"
76,7600,18.2299166957,crossover_1,random_image_array_1,"(305,264)"
77,7700,18.1615466806,crossover_1,random_image_array_1,"(305,264)"
78,7800,18.1331316771,crossover_1,random_image_array_1,"(305,264)"
79,7900,18.1150047333,crossover_1,random_image_array_1,"(305,264)"
80,8000,18.1130765069,crossover_1,random_image_array_1,"(305,264)"
81,8100,18.0992634951,crossover_1,random_image_array_1,"(305,264)"
82,8200,18.0942392201,crossover_1,random_image_array_1,"(305,264)"
83,8300,18.0837761164,crossover_1,random_image_array_1,"(305,264)"
84,8400,18.0784666682,crossover_1,random_image_array_1,"(305,264)"
85,8500,18.0500178921,crossover_1,random_image_array_1,"(305,264)"
86,8600,18.0421881023,crossover_1,random_image_array_1,"(305,264)"
87,8700,18.0015615698,crossover_1,random_image_array_1,"(305,264)"
88,8800,17.9643247558,crossover_1,random_image_array_1,"(305,264)"
89,8900,17.9534183625,crossover_1,random_image_array_1,"(305,264)"
90,9000,17.927713108,crossover_1,random_image_array_1,"(305,264)"
91,9100,17.8522793481,crossover_1,random_image_array_1,"(305,264)"
92,9200,17.7835584018,crossover_1,random_image_array_1,"(305,264)"
93,9300,17.750608522,crossover_1,random_image_array_1,"(305,264)"
94,9400,17.7282765977,crossover_1,random_image_array_1,"(305,264)"
95,9500,17.6263097945,crossover_1,random_image_array_1,"(305,264)"
96,9600,17.5913539781,crossover_1,random_image_array_1,"(305,264)"
97,9700,17.5913539781,crossover_1,random_image_array_1,"(305,264)"
98,9800,17.5400051974,crossover_1,random_image_array_1,"(305,264)"
99,9900,17.5135606358,crossover_1,random_image_array_1,"(305,264)"
100,10000,17.5135606358,crossover_1,random_image_array_1,"(305,264)"
101,10100,17.4671622793,crossover_1,random_image_array_1,"(305,264)"
102,10200,17.434631293,crossover_1,random_image_array_1,"(305,264)"
103,10300,17.4004923386,crossover_1,random_image_array_1,"(305,264)"
104,10400,17.3528043686,crossover_1,random_image_array_1,"(305,264)"
105,10500,17.3450825056,crossover_1,random_image_array_1,"(305,264)"
106,10600,17.3434763511,crossover_1,random_image_array_1,"(305,264)"
107,10700,17.3402193319,crossover_1,random_image_array_1,"(305,264)"
108,10800,17.3402193319,crossover_1,random_image_array_1,"(305,264)"
109,10900,17.3363633923,crossover_1,random_image_array_1,"(305,264)"
110,11000,17.3357503697,crossover_1,random_image_array_1,"(305,264)"
111,11100,17.3285234918,crossover_1,random_image_array_1,"(305,264)"
112,11200,17.3079790115,crossover_1,random_image_array_1,"(305,264)"
113,11300,17.2002019123,crossover_1,random_image_array_1,"(305,264)"
114,11400,17.199817135,crossover_1,random_image_array_1,"(305,264)"
115,11500,17.1776587388,crossover_1,random_image_array_1,"(305,264)"
116,11600,17.0968949651,crossover_1,random_image_array_1,"(305,264)"
117,11700,17.0474310041,crossover_1,random_image_array_1,"(305,264)"
118,11800,16.9989568582,crossover_1,random_image_array_1,"(305,264)"
119,11900,16.9790351563,crossover_1,random_image_array_1,"(305,264)"
120,12000,16.9744136448,crossover_1,random_image_array_1,"(305,264)"
121,12100,16.9565652015,crossover_1,random_image_array_1,"(305,264)"
122,12200,16.9347042069,crossover_1,random_image_array_1,"(305,264)"
123,12300,16.9194531752,crossover_1,random_image_array_1,"(305,264)"
124,12400,16.891527214,crossover_1,random_image_array_1,"(305,264)"
